names,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Maribel Gates,female,group B,high school,free/reduced,completed,67.0,80.0,81.0
Richard Harden,male,group D,some college,free/reduced,none,49.0,196.0,193.0
Rachel Breland,female,group B,high school,free/reduced,completed,193.0,124.0,131.0
Scott Oviedo,male,group A,some college,free/reduced,completed,50.0,47.0,54.0
Gaylene Hunt,female,group D,some college,standard,completed,79.0,84.0,91.0
Todd Bernard,male,group C,high school,standard,completed,142.0,124.0,193.0
Doris Arujo,female,group C,some college,standard,none,71.0,81.0,80.0
Randall Brown,male,group B,high school,standard,none,,124.0,142.0
Christopher Martinez,male,group C,bachelor's degree,standard,completed,83.0,82.0,84.0
Kimberly Vega,female,group D,master's degree,standard,none,55.0,64.0,70.0
Jeane Budds,female,group D,some college,standard,none,193.0,,156.0
Jennifer Koczera,female,group C,some high school,free/reduced,none,48.0,58.0,52.0
Julian Burke,male,group D,high school,standard,none,76.0,73.0,68.0
Kimberly Moberg,female,group D,associate's degree,standard,none,77.0,77.0,73.0
George Mooney,male,group C,some college,standard,completed,79.0,79.0,78.0
Stanley Mcgahan,male,group C,associate's degree,standard,none,193.0,,142.0
Shirley Damon,female,group C,bachelor's degree,free/reduced,none,62.0,78.0,79.0
Kathleen Taylor,female,group C,associate's degree,free/reduced,completed,56.0,68.0,70.0
Audrey Mcdonald,female,group D,some college,standard,none,124.0,193.0,193.0
Ann Cain,female,group C,associate's degree,standard,completed,68.0,86.0,84.0
Josh Moore,male,group C,high school,standard,none,84.0,77.0,74.0
Charles Smith,male,group D,some college,standard,none,124.0,49.0,193.0
David Carnagey,male,group D,associate's degree,standard,none,80.0,75.0,69.0
Viola Santiago,female,group D,master's degree,standard,none,62.0,70.0,75.0
Thomas Bulow,male,group E,some college,standard,none,124.0,174.0,193.0
Mary Levy,female,group D,some college,free/reduced,none,60.0,66.0,70.0
Terry Wingerd,female,group E,high school,free/reduced,none,64.0,62.0,68.0
Flossie Streeter,female,group C,some high school,free/reduced,completed,29.0,40.0,44.0
Kimberly Bradford,female,group B,bachelor's degree,standard,none,52.0,65.0,69.0
Erica Maynard,female,group D,master's degree,standard,none,53.0,61.0,68.0
Nancy Myers,female,group B,associate's degree,standard,completed,131.0,124.0,193.0
David Haffner,male,group D,bachelor's degree,standard,completed,67.0,61.0,68.0
Anna Cotman,female,group D,associate's degree,standard,none,82.0,95.0,89.0
Mary Trager,female,group C,bachelor's degree,standard,completed,56.0,79.0,72.0
Joseph Agustin,male,group C,some high school,free/reduced,none,79.0,76.0,65.0
Sean Ramirez,male,group C,master's degree,standard,none,142.0,196.0,196.0
Thomas Watson,male,group D,high school,free/reduced,completed,73.0,68.0,66.0
Aaron Oakden,male,group D,high school,free/reduced,none,66.0,74.0,69.0
Carolyn Smartt,female,group B,associate's degree,standard,completed,52.0,66.0,73.0
Julia Nicole,female,group B,some high school,free/reduced,completed,52.0,67.0,72.0
Maritza Gasaway,female,group D,some high school,standard,none,73.0,86.0,82.0
Gail Cassady,female,group E,associate's degree,standard,none,66.0,65.0,69.0
Joe Thomas,male,group E,high school,standard,none,84.0,73.0,69.0
Charles Kong,male,group C,associate's degree,standard,completed,82.0,75.0,77.0
Joe Cooper,male,group E,associate's degree,standard,none,193.0,124.0,142.0
Charles Suggs,male,group C,some college,free/reduced,none,74.0,77.0,73.0
Michael Vert,male,group A,some college,free/reduced,completed,193.0,,124.0
Henry Mcgowen,male,group E,some college,standard,none,76.0,71.0,72.0
Greg Westerberg,male,group D,associate's degree,standard,completed,81.0,72.0,77.0
Sherri Todd,female,group D,some college,free/reduced,none,79.0,89.0,86.0
Carmelia Solis,female,group B,associate's degree,free/reduced,none,124.0,124.0,142.0
Karen Flye,female,group D,some high school,standard,none,68.0,71.0,75.0
Robert Sturgeon,male,group E,some college,standard,none,128.0,193.0,
Judith Mckay,female,group C,some college,standard,completed,63.0,78.0,80.0
James Cable,male,group B,some college,free/reduced,completed,142.0,193.0,142.0
Kenneth Pyles,male,group C,associate's degree,free/reduced,none,124.0,,156.0
Aaron Oakden,male,group D,high school,free/reduced,none,,193.0,124.0
Celeste Petch,female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0
Autumn Miller,female,group D,high school,standard,none,196.0,,193.0
Joel Schleusner,male,group D,some high school,free/reduced,none,196.0,193.0,193.0
Charles Dearing,male,group B,high school,standard,completed,72.0,65.0,68.0
Molly House,female,group C,some high school,standard,completed,85.0,92.0,93.0
Thomas Ronzoni,male,group C,associate's degree,standard,completed,196.0,142.0,193.0
Michael Bashaw,male,group C,bachelor's degree,standard,none,83.0,78.0,73.0
Tracy Fowler,female,group E,associate's degree,standard,none,84.0,95.0,92.0
Aletha Bonds,female,group C,associate's degree,standard,none,65.0,77.0,74.0
Daniel Amburn,male,group D,master's degree,standard,none,,,142.0
Carmen Simcoe,female,group D,some college,standard,completed,85.0,86.0,98.0
Milton Chaput,male,group D,high school,standard,none,70.0,70.0,70.0
Denise Mcdonald,female,group D,some college,free/reduced,completed,58.0,63.0,73.0
Osvaldo Barraza,male,group D,some high school,standard,none,86.0,80.0,75.0
Nicole Roberts,female,group C,some college,standard,completed,64.0,82.0,77.0
Agnes Dobbs,female,group C,master's degree,free/reduced,completed,65.0,81.0,81.0
Charlotte Benton,female,group C,associate's degree,standard,none,124.0,193.0,124.0
Richard Henry,male,group D,associate's degree,standard,none,61.0,55.0,52.0
Malcolm Sanzotta,male,group D,bachelor's degree,free/reduced,completed,193.0,,193.0
Marvin Cooper,male,group C,associate's degree,free/reduced,none,49.0,51.0,51.0
Daniel Deas,male,group C,high school,free/reduced,completed,53.0,51.0,51.0
Jeanine Diaz,female,group B,bachelor's degree,standard,none,97.0,97.0,96.0
Robin Schiffer,female,group C,some college,free/reduced,completed,196.0,,
Alfonzo Kellar,male,group C,some high school,standard,none,75.0,72.0,62.0
Richard Royals,male,group A,high school,standard,completed,72.0,73.0,74.0
Cleo Jefferson,female,group D,master's degree,standard,none,124.0,196.0,196.0
Matthew Mcdonald,male,group D,bachelor's degree,free/reduced,completed,74.0,79.0,75.0
Nancy Sumler,female,group D,some high school,standard,none,59.0,67.0,61.0
Evan Ammons,male,group D,bachelor's degree,free/reduced,none,68.0,68.0,67.0
Jamie Jackson,male,group C,associate's degree,standard,completed,78.0,77.0,77.0
Travis Shoun,male,group A,high school,free/reduced,none,53.0,58.0,44.0
Tanya Freeman,female,group C,associate's degree,free/reduced,none,57.0,78.0,67.0
Randy Mccarthy,male,group E,associate's degree,standard,none,72.0,57.0,62.0
Emma Gray,female,group E,bachelor's degree,standard,completed,99.0,100.0,100.0
Willie Neff,female,group E,associate's degree,free/reduced,none,,193.0,142.0
Sara Kochan,female,group D,bachelor's degree,standard,none,79.0,89.0,89.0
Edward Lowman,male,group E,associate's degree,free/reduced,completed,91.0,73.0,80.0
Corey Brown,male,group C,associate's degree,standard,none,83.0,72.0,78.0
Timothy Smith,male,group A,some high school,standard,completed,,193.0,64.0
Jacqueline Mayrant,female,group E,some high school,free/reduced,none,72.0,79.0,77.0
Eleanore Carillo,female,group E,master's degree,free/reduced,none,142.0,156.0,124.0
Emma Gray,female,group E,bachelor's degree,standard,completed,188.0,196.0,196.0
Kathryn Dale,female,group B,some college,standard,none,,142.0,142.0
Joseph Holsapple,male,group A,some high school,free/reduced,completed,61.0,62.0,61.0
Edward Hutcheson,male,group A,master's degree,free/reduced,none,73.0,74.0,72.0
Aimee Tamayo,female,group C,some high school,standard,completed,59.0,54.0,67.0
Raymond Stuart,male,group A,some college,standard,completed,100.0,96.0,86.0
Ralph Cleveland,male,group C,bachelor's degree,free/reduced,none,61.0,66.0,61.0
Helen Pince,female,group E,some high school,standard,none,77.0,79.0,80.0
Stephen Boers,male,group C,master's degree,standard,none,71.0,67.0,67.0
Heather Banks,female,group C,associate's degree,standard,none,49.0,53.0,53.0
Jeffrey Massa,male,group A,associate's degree,free/reduced,none,62.0,61.0,55.0
Kim Myles,female,group C,some college,free/reduced,none,193.0,156.0,
Marguerite Ramos,female,group C,bachelor's degree,standard,none,86.0,92.0,87.0
Frank Barrera,male,group C,high school,standard,none,75.0,81.0,71.0
Milton Chaput,male,group D,high school,standard,none,,,
Tammy Patterson,female,group B,high school,standard,none,58.0,62.0,59.0
Quiana Rohrbach,female,group A,some high school,free/reduced,none,47.0,59.0,50.0
Audrey Darby,female,group D,some high school,standard,completed,,142.0,142.0
Adolfo Wooten,male,group E,high school,standard,none,131.0,,124.0
Rosa Redding,female,group B,some college,standard,completed,193.0,64.0,
May Kelly,female,group C,bachelor's degree,standard,none,63.0,75.0,81.0
Aubrey Thompson,male,group A,some college,standard,none,69.0,67.0,69.0
Monica Campbell,female,group D,high school,free/reduced,none,,193.0,147.0
Damien Gomez,male,group C,bachelor's degree,free/reduced,completed,70.0,75.0,74.0
Thomas Rabb,male,group C,some high school,free/reduced,none,68.0,63.0,54.0
Darron Allen,male,group C,high school,standard,none,61.0,56.0,55.0
Alan Harper,male,group D,associate's degree,standard,none,71.0,66.0,60.0
Margie Saenz,female,group B,some college,standard,completed,122.0,95.0,193.0
Robert Miranda,male,group C,high school,free/reduced,none,124.0,156.0,196.0
Dennis Cheng,male,group A,some college,standard,completed,142.0,156.0,
Linda Michael,female,group D,some high school,standard,none,81.0,97.0,96.0
David Martinez,male,group E,associate's degree,free/reduced,completed,100.0,100.0,93.0
Ned Burke,male,group E,some college,standard,none,84.0,77.0,71.0
Katharine Martinez,female,group C,some college,free/reduced,none,77.0,90.0,91.0
Charles Ayala,male,group C,some college,standard,none,53.0,44.0,42.0
Dawn Tamborlane,female,group D,some college,free/reduced,none,71.0,83.0,83.0
Randy Olson,male,group C,associate's degree,free/reduced,none,73.0,68.0,66.0
Ruth Men,female,group B,master's degree,free/reduced,completed,193.0,,193.0
Monica Howington,female,group D,some high school,standard,none,65.0,82.0,81.0
Jonathan Clingan,male,group D,some college,standard,completed,124.0,193.0,124.0
Jeanette Carodine,female,group B,master's degree,standard,none,193.0,171.0,147.0
Anthony Hinerman,male,group C,some high school,standard,none,49.0,49.0,41.0
Bambi Dyer,female,group D,associate's degree,free/reduced,none,52.0,59.0,56.0
Barbara Otto,female,group E,associate's degree,standard,completed,65.0,75.0,77.0
Joseph Alfaro,male,group C,some college,standard,none,59.0,60.0,58.0
Roy Williams,male,group C,some college,free/reduced,none,80.0,64.0,66.0
David Carnagey,male,group D,associate's degree,standard,none,193.0,142.0,124.0
Michael Dudas,male,group D,some high school,free/reduced,none,62.0,49.0,52.0
Doyle Johnson,male,group A,high school,standard,none,57.0,43.0,47.0
Evan Smith,male,group E,associate's degree,free/reduced,none,46.0,43.0,41.0
Margery Rattan,female,group C,associate's degree,standard,none,58.0,73.0,68.0
Jonathan Rochon,male,group D,associate's degree,standard,completed,67.0,54.0,63.0
Edward Sullivan,male,group D,some high school,standard,none,73.0,66.0,62.0
Helen Mcatee,female,group C,some college,standard,none,72.0,72.0,71.0
Joseph Jaco,male,group B,some college,free/reduced,none,40.0,43.0,39.0
Matthew Thompson,male,group E,some high school,free/reduced,completed,78.0,83.0,80.0
Dana Belcher,female,group B,some college,standard,none,63.0,65.0,61.0
Joyce Jennings,female,group C,high school,standard,none,61.0,72.0,70.0
Richard Bratcher,male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0
Stephanie Jun,female,group B,high school,standard,completed,77.0,82.0,89.0
Karen Hankinson,female,group E,associate's degree,free/reduced,none,70.0,84.0,81.0
Sam Barnette,male,group A,some high school,standard,none,53.0,54.0,48.0
Andrew Duran,male,group D,some college,standard,none,156.0,196.0,193.0
Johnathan Bishop,male,group D,bachelor's degree,free/reduced,completed,151.0,42.0,38.0
Oliver Seldon,male,group B,high school,standard,completed,76.0,62.0,60.0
Robbie Stevens,female,group B,some college,free/reduced,none,45.0,53.0,55.0
Emilia Porat,female,group C,master's degree,free/reduced,none,40.0,58.0,54.0
James Lydon,male,group A,high school,standard,none,193.0,,
Dorothea Martin,female,group E,associate's degree,standard,completed,82.0,85.0,86.0
Stephanie Yocum,female,group C,some college,standard,none,124.0,64.0,124.0
Tosha Benson,female,group E,bachelor's degree,free/reduced,completed,193.0,196.0,196.0
Anthony Brown,male,group A,some college,standard,completed,78.0,72.0,70.0
Michael King,male,group D,associate's degree,free/reduced,none,75.0,66.0,73.0
Gladys Thompson,female,group B,some high school,standard,none,70.0,64.0,72.0
Michael Hughes,male,group B,some college,free/reduced,none,55.0,55.0,47.0
Johnathan Bishop,male,group D,bachelor's degree,free/reduced,completed,39.0,42.0,38.0
Christine Reed,female,group E,bachelor's degree,standard,completed,188.0,142.0,131.0
Frederick Brunet,male,group A,some high school,standard,completed,,49.0,49.0
Virginia Trible,female,group C,some college,standard,completed,70.0,89.0,88.0
Charles Jackson,male,group E,some high school,standard,none,30.0,26.0,22.0
Amy Hawes,female,group B,bachelor's degree,standard,none,75.0,84.0,80.0
Marcus Mcfarland,male,group C,bachelor's degree,standard,completed,63.0,64.0,66.0
Annie Roeder,female,group B,some high school,standard,none,82.0,82.0,80.0
Joyce Turpen,female,group D,associate's degree,standard,none,74.0,81.0,83.0
Stanley Denny,male,group C,master's degree,free/reduced,none,54.0,59.0,50.0
Lorraine Carter,female,group C,associate's degree,standard,none,124.0,147.0,131.0
Sharon Sikes,female,group C,some high school,free/reduced,completed,71.0,84.0,87.0
Betty Buntin,female,group A,bachelor's degree,standard,none,196.0,156.0,
Fannie Sleeper,female,group D,associate's degree,free/reduced,none,142.0,124.0,
Sheryl Johnson,female,group D,some high school,standard,none,73.0,84.0,85.0
Kimberly Chavez,female,group C,bachelor's degree,standard,none,77.0,88.0,87.0
Jennie Ferguson,female,group A,high school,free/reduced,completed,77.0,88.0,85.0
Kenneth Robertson,male,group A,bachelor's degree,standard,completed,87.0,84.0,87.0
Albert Vaughn,male,group E,some college,free/reduced,completed,87.0,74.0,70.0
Louis Mckinzie,male,group C,associate's degree,standard,none,74.0,73.0,67.0
Darryl Ward,male,group D,some college,standard,none,67.0,64.0,70.0
Patricia Mcninch,female,group C,bachelor's degree,free/reduced,none,43.0,62.0,61.0
Robert Dickerson,male,group E,some college,free/reduced,completed,49.0,52.0,51.0
Tina Willis,female,group C,high school,free/reduced,none,42.0,193.0,142.0
Barbara Torres,female,group D,some college,free/reduced,none,49.0,65.0,61.0
Maureen Robins,female,group C,master's degree,standard,none,,142.0,193.0
Richard Taylor,male,group B,associate's degree,standard,none,124.0,124.0,
Wade Guidry,male,group C,high school,free/reduced,none,193.0,193.0,193.0
Larry Torres,male,group D,associate's degree,free/reduced,none,53.0,54.0,48.0
John Lopez,male,group B,some high school,standard,completed,64.0,53.0,57.0
Nicole Roberts,female,group C,some college,standard,completed,64.0,131.0,193.0
Helen Simpson,female,group C,associate's degree,standard,none,196.0,193.0,147.0
Clora Machado,female,group B,associate's degree,standard,completed,61.0,86.0,87.0
Diane Hopkins,female,group C,bachelor's degree,standard,completed,79.0,92.0,89.0
Velma Chatcho,female,group E,some college,standard,completed,,156.0,
Dwight Zapata,male,group C,some high school,free/reduced,none,69.0,71.0,65.0
John Ratcliff,male,group D,high school,standard,none,54.0,52.0,52.0
Sarah Defazio,female,group C,some high school,free/reduced,none,65.0,86.0,80.0
Karl Dietrich,female,group C,some high school,standard,none,77.0,91.0,88.0
Vincent Tucker,male,group C,high school,free/reduced,none,58.0,61.0,52.0
Odette Carter,female,group C,some high school,standard,none,49.0,63.0,56.0
Janet Housel,female,group B,associate's degree,standard,none,73.0,76.0,80.0
Riley Cambell,male,group B,some college,standard,completed,124.0,193.0,193.0
Gloria Bradford,female,group B,high school,standard,none,54.0,64.0,68.0
Nancy Culp,female,group C,bachelor's degree,standard,completed,142.0,188.0,156.0
Arthur Patterson,male,group A,associate's degree,standard,none,54.0,53.0,47.0
Ronald Wilson,male,group C,some high school,standard,none,64.0,58.0,51.0
Danny Eliezrie,male,group C,some college,standard,none,,196.0,193.0
Cheryl Kraus,female,group D,some high school,standard,none,59.0,72.0,80.0
Kristy Glass,female,group D,associate's degree,standard,none,76.0,74.0,73.0
Todd Bernard,male,group C,high school,standard,completed,75.0,69.0,68.0
Timothy Botello,male,group D,master's degree,standard,none,85.0,84.0,89.0
Ashley Mcray,female,group B,associate's degree,standard,none,131.0,193.0,193.0
Ronald Coria,male,group A,associate's degree,standard,completed,97.0,92.0,86.0
Robert Witmer,male,group A,bachelor's degree,standard,completed,193.0,142.0,142.0
Shane Polite,male,group C,master's degree,free/reduced,completed,188.0,193.0,142.0
Jessica Martin,female,group B,associate's degree,free/reduced,none,53.0,70.0,70.0
Valarie Trujillo,female,group C,associate's degree,standard,none,52.0,55.0,57.0
Robin Flores,female,group D,high school,standard,none,142.0,142.0,193.0
Santiago Luther,male,group E,some high school,standard,completed,77.0,76.0,77.0
William Novoa,male,group C,master's degree,standard,none,79.0,72.0,69.0
Frances Archer,female,group C,associate's degree,standard,completed,57.0,77.0,80.0
Richard Taylor,male,group B,associate's degree,standard,none,87.0,85.0,73.0
Hubert Mitchell,male,group D,high school,standard,none,66.0,69.0,63.0
Connie Anderson,female,group B,associate's degree,standard,completed,193.0,193.0,124.0
Pansy Kelly,female,group C,some high school,standard,completed,193.0,124.0,124.0
Marcia York,female,group D,bachelor's degree,free/reduced,none,63.0,73.0,78.0
Anita Hill,female,group A,associate's degree,free/reduced,none,65.0,85.0,76.0
Raymond Venecia,male,group B,some high school,standard,completed,64.0,124.0,196.0
Frederick Hill,male,group E,associate's degree,standard,completed,124.0,193.0,193.0
Mary Kovac,female,group C,associate's degree,standard,completed,68.0,67.0,73.0
Rodney Torres,male,group D,some college,standard,none,55.0,58.0,52.0
Julio Fuller,male,group D,high school,standard,none,72.0,66.0,66.0
Norman Reed,male,group E,some college,standard,none,86.0,76.0,74.0
Barbara Pitts,female,group B,high school,free/reduced,completed,142.0,193.0,142.0
Jean Tiscareno,female,group D,some high school,free/reduced,completed,35.0,55.0,60.0
Matthew Demelis,male,group E,some college,standard,none,97.0,87.0,82.0
Larry Torres,male,group D,associate's degree,free/reduced,none,124.0,124.0,193.0
Darryl Skinner,male,group B,some college,free/reduced,none,75.0,68.0,65.0
Matthew Freeman,male,group B,high school,standard,completed,52.0,49.0,46.0
Mauricio Deering,male,group D,high school,free/reduced,none,74.0,70.0,69.0
Viki Fraser,female,group C,some high school,standard,completed,70.0,82.0,76.0
Dana Mojica,female,group D,high school,free/reduced,none,39.0,52.0,46.0
Kara Greene,female,group D,some high school,standard,completed,61.0,74.0,72.0
Theresa Visvardis,female,group E,bachelor's degree,standard,none,193.0,196.0,38.0
Lauren Warren,female,group C,some high school,free/reduced,none,44.0,50.0,51.0
Monica Alfandre,female,group B,bachelor's degree,standard,none,193.0,156.0,
Sofia Williams,female,group C,some college,free/reduced,none,32.0,151.0,33.0
Christian Hill,male,group C,master's degree,free/reduced,completed,193.0,193.0,142.0
Jeanette Carodine,female,group B,master's degree,standard,none,77.0,90.0,84.0
Robert Tarlton,male,group B,some high school,free/reduced,completed,49.0,193.0,193.0
Gary Hunter,male,group D,associate's degree,standard,completed,87.0,84.0,85.0
Leonard Charlesworth,male,group D,associate's degree,standard,none,193.0,193.0,193.0
Irving Wheeler,male,group B,some college,standard,none,66.0,65.0,60.0
Teresa Yanez,female,group B,associate's degree,free/reduced,completed,68.0,77.0,80.0
Doyle Johnson,male,group A,high school,standard,none,196.0,182.0,
Donald Greenberg,male,group C,associate's degree,standard,none,193.0,182.0,42.0
Eric Brown,male,group C,associate's degree,free/reduced,completed,65.0,67.0,65.0
Brent Sollenberger,male,group C,high school,standard,none,62.0,67.0,58.0
James Muir,male,group C,high school,standard,none,81.0,66.0,64.0
Cathy Kuhl,female,group E,high school,free/reduced,completed,196.0,142.0,
Sean Staples,male,group D,some college,free/reduced,none,70.0,63.0,58.0
Ernestine Kizer,female,group C,some college,standard,completed,124.0,193.0,131.0
James Johnson,male,group B,some college,standard,none,,182.0,142.0
Evangelina Hahn,female,group C,associate's degree,standard,completed,74.0,75.0,83.0
Thomas Simmons,male,group C,bachelor's degree,standard,completed,94.0,90.0,91.0
Brandy Perez,female,group C,some high school,standard,completed,142.0,193.0,193.0
Bonnie Williams,female,group A,some high school,standard,completed,193.0,196.0,97.0
Joann Liesmann,female,group E,some college,standard,none,76.0,78.0,80.0
Ronnie Lim,female,group B,associate's degree,standard,completed,59.0,70.0,66.0
Daniel Adams,male,group D,associate's degree,standard,none,156.0,188.0,193.0
James Walker,male,group E,bachelor's degree,standard,none,68.0,68.0,64.0
Christine Everhart,female,group D,high school,standard,none,124.0,193.0,
Stephanie Jun,female,group B,high school,standard,completed,193.0,131.0,193.0
Noe Talbot,male,group E,associate's degree,standard,completed,193.0,193.0,193.0
Jerome Herring,male,group C,some high school,standard,none,73.0,66.0,66.0
Erik Howard,male,group C,associate's degree,standard,completed,,142.0,156.0
John Reed,male,group B,associate's degree,free/reduced,completed,193.0,196.0,124.0
Beverly Sprenger,female,group D,bachelor's degree,standard,none,124.0,142.0,193.0
Richard Pryor,male,group E,bachelor's degree,standard,completed,100.0,100.0,100.0
Drew Lanzi,male,group B,high school,standard,none,131.0,131.0,193.0
Luetta Caponigro,female,group B,high school,free/reduced,none,8.0,24.0,23.0
Jacqueline Akers,female,group B,high school,standard,none,65.0,64.0,62.0
Angela Atterberry,female,group D,some high school,free/reduced,completed,40.0,65.0,64.0
Maggie Rugg,female,group A,some high school,standard,none,48.0,66.0,65.0
James Crawford,male,group D,master's degree,standard,none,89.0,84.0,82.0
Marlene Sullivan,female,group D,master's degree,standard,completed,77.0,82.0,91.0
Sherrie Ford,female,group B,some high school,standard,none,193.0,64.0,
Patricia Farias,female,group E,bachelor's degree,standard,none,65.0,73.0,75.0
Brenton Graap,male,group C,associate's degree,standard,none,69.0,77.0,69.0
Henry Rogers,male,group A,some high school,free/reduced,none,68.0,72.0,64.0
Antonio Pelaez,male,group C,associate's degree,standard,none,49.0,51.0,43.0
Edith Cervera,female,group C,some college,standard,none,62.0,69.0,69.0
Margaret Yarbrough,female,group E,high school,standard,none,50.0,50.0,47.0
Kathleen Johnson,female,group D,high school,standard,completed,56.0,68.0,74.0
Deborah Ladner,female,group D,associate's degree,free/reduced,none,46.0,56.0,57.0
Mark Garcia,male,group C,high school,standard,none,124.0,,124.0
Donna Medlin,female,group B,high school,free/reduced,none,38.0,142.0,193.0
Thomas Bulow,male,group E,some college,standard,none,53.0,55.0,48.0
Linda Mccormack,female,group D,some high school,free/reduced,none,142.0,147.0,147.0
Lawrence Travis,male,group E,associate's degree,free/reduced,completed,193.0,182.0,193.0
Justin Esparza,male,group C,associate's degree,free/reduced,completed,60.0,51.0,56.0
Belinda Tuholski,female,group C,associate's degree,standard,none,91.0,95.0,94.0
Bette Williams,female,group B,associate's degree,standard,completed,90.0,90.0,91.0
Richard Christiansen,male,group B,bachelor's degree,free/reduced,none,73.0,56.0,57.0
Carol Gamboa,female,group C,some college,standard,completed,70.0,72.0,76.0
Emily Devins,female,group B,associate's degree,standard,none,47.0,49.0,50.0
Richard Zayas,male,group B,associate's degree,standard,completed,65.0,65.0,63.0
Pura Ross,female,group C,associate's degree,standard,none,81.0,77.0,79.0
Harvey Pribbenow,male,group D,bachelor's degree,free/reduced,none,55.0,46.0,44.0
Sharon Matthews,female,group E,associate's degree,standard,completed,93.0,100.0,95.0
Emily Smith,female,group B,high school,standard,none,142.0,196.0,193.0
Bonnie Rodriguez,female,group E,high school,standard,completed,193.0,188.0,193.0
Helen Richey,female,group C,some college,standard,none,124.0,193.0,193.0
Gary Jimenez,male,group C,associate's degree,standard,completed,142.0,193.0,193.0
Krystal Ford,female,group D,some college,standard,none,65.0,70.0,71.0
Charlie Luke,male,group E,associate's degree,standard,completed,131.0,124.0,131.0
Harold Ackerson,male,group B,some college,standard,none,62.0,61.0,57.0
Joseph Rains,male,group A,high school,free/reduced,none,48.0,45.0,41.0
Luis Lichty,male,group A,high school,standard,none,196.0,193.0,193.0
Samuel Low,male,group D,some college,standard,none,68.0,59.0,62.0
Mary Hahn,female,group B,some high school,standard,none,66.0,69.0,68.0
Charles Vaughan,male,group A,some high school,free/reduced,none,55.0,46.0,43.0
Mary Delgado,female,group E,some college,free/reduced,completed,42.0,55.0,54.0
Betty Byrd,female,group B,associate's degree,free/reduced,none,54.0,65.0,65.0
Steven Maness,male,group B,some college,free/reduced,completed,74.0,77.0,76.0
Walter Simmons,male,group C,bachelor's degree,free/reduced,none,37.0,56.0,47.0
Larry Workman,male,group E,associate's degree,standard,completed,66.0,63.0,64.0
Anthony Anderson,male,group D,high school,standard,none,88.0,78.0,75.0
Shannon Zamarripa,female,group D,high school,standard,completed,69.0,77.0,78.0
Shanna Braswell,female,group D,bachelor's degree,free/reduced,completed,166.0,196.0,196.0
Melvin Mastrangelo,male,group D,associate's degree,free/reduced,completed,61.0,71.0,73.0
Heather Pastore,female,group A,some high school,free/reduced,none,193.0,64.0,193.0
Clarissa Mccarthy,female,group C,associate's degree,standard,none,39.0,64.0,57.0
Garth Zayas,male,group C,associate's degree,standard,completed,87.0,100.0,95.0
Pamela Cannady,female,group B,bachelor's degree,free/reduced,none,142.0,124.0,131.0
Camille Rodrigue,female,group D,master's degree,standard,none,64.0,63.0,66.0
Larry Matthews,male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0
Dylan Mora,male,group B,some high school,standard,completed,131.0,193.0,124.0
Melissa Hughes,female,group D,some college,free/reduced,completed,59.0,78.0,76.0
Horace Morefield,male,group D,some high school,free/reduced,completed,80.0,79.0,79.0
Ruth Dupre,female,group C,high school,free/reduced,none,33.0,142.0,182.0
Marion Murdy,female,group B,high school,free/reduced,none,71.0,87.0,82.0
Pansy Kelly,female,group C,some high school,standard,completed,76.0,87.0,85.0
Heike Miller,female,group B,associate's degree,standard,none,53.0,58.0,65.0
Terry Davis,male,group D,some high school,standard,completed,78.0,81.0,86.0
Micki Banks,female,group A,high school,standard,none,55.0,73.0,73.0
Edward Killingsworth,male,group C,high school,standard,none,70.0,70.0,65.0
Ashley Church,female,group C,some high school,standard,none,65.0,69.0,76.0
Marybeth Mazzone,female,group B,associate's degree,free/reduced,completed,193.0,131.0,124.0
Cameron Estrada,male,group D,some high school,standard,none,86.0,73.0,70.0
Frederick Brunet,male,group A,some high school,standard,completed,47.0,49.0,49.0
Stephen Broenneke,male,group B,some college,standard,none,54.0,52.0,51.0
Olga Hatcher,female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0
James Bailey,male,group E,bachelor's degree,standard,completed,193.0,193.0,
Robin Flores,female,group D,high school,standard,none,78.0,81.0,80.0
Robert Sturgeon,male,group E,some college,standard,none,83.0,80.0,73.0
Stephanie Yocum,female,group C,some college,standard,none,54.0,64.0,65.0
Larry Mclane,male,group E,associate's degree,free/reduced,none,90.0,90.0,82.0
Dana Bolyard,female,group D,some high school,standard,none,59.0,58.0,59.0
Camie Hamilton,female,group B,high school,standard,none,65.0,81.0,73.0
Ilona Moore,female,group C,some college,standard,completed,,142.0,193.0
Jacqueline Holton,female,group C,high school,free/reduced,completed,67.0,79.0,84.0
Richard Roderick,male,group E,some high school,standard,completed,193.0,64.0,142.0
Carlos Luker,male,group D,high school,standard,none,,124.0,
Todd Price,male,group E,some high school,standard,completed,89.0,84.0,77.0
Joyce Lamarche,female,group E,high school,standard,completed,59.0,63.0,75.0
Donald Durbin,male,group B,high school,standard,completed,73.0,71.0,68.0
Kimberly Ross,female,group B,some high school,free/reduced,completed,74.0,90.0,88.0
James Hughey,male,group C,bachelor's degree,standard,none,86.0,83.0,86.0
William Gardiner,male,group E,high school,free/reduced,none,55.0,56.0,51.0
Laura Hunter,female,group E,bachelor's degree,free/reduced,none,61.0,58.0,62.0
